부산김해경전철,부산김해경전철,사상,128.984621,35.162361
부산김해경전철,부산김해경전철,괘법르네시떼,128.977643179,35.163264554
부산김해경전철,부산김해경전철,서부산유통지구,128.954968205,35.166358796
부산김해경전철,부산김해경전철,공항,128.948587774,35.171927297
부산김해경전철,부산김해경전철,덕두,128.954195500,35.181988713
부산김해경전철,부산김해경전철,등구,128.963563763,35.196120784
부산김해경전철,부산김해경전철,대저,128.960545898,35.213066722
부산김해경전철,부산김해경전철,평강,128.950763320,35.214035853
부산김해경전철,부산김해경전철,대사,128.938435392,35.217649394
부산김해경전철,부산김해경전철,불암,128.927846285,35.222162219
부산김해경전철,부산김해경전철,지내,128.923777263,35.227503372
부산김해경전철,부산김해경전철,김해대학,128.915591736,35.228994010
부산김해경전철,부산김해경전철,인제대,128.901831668,35.228120626
부산김해경전철,부산김해경전철,김해시청,128.890390910,35.227083296
부산김해경전철,부산김해경전철,부원,128.883930010,35.226476624
부산김해경전철,부산김해경전철,봉황,128.874392686,35.227242040
부산김해경전철,부산김해경전철,수로왕릉,128.872176631,35.232845681
부산김해경전철,부산김해경전철,박물관,128.871881008,35.240055237
부산김해경전철,부산김해경전철,연지공원,128.869260693,35.249603255
부산김해경전철,부산김해경전철,장신대,128.867180973,35.259512353
부산김해경전철,부산김해경전철,가야대,128.864948056,35.266832870